city,country,longitude,latitude,Temperature F,Humidity %,Cloudiness,Wind Speed mph
Carnarvon,AU,113.63,-24.87,80.6,69,10000,24.16
Khatanga,RU,102.5,71.97,-34.02,82,10000,6.76
Saint-Leu,RE,55.28,-21.15,82.4,69,10000,4.7
Semey,KZ,80.23,50.41,3.2,84,10000,4.34
Albany,US,-73.97,42.6,19.99,35,10000,4.05
Saint-Philippe,RE,55.77,-21.36,82.4,69,10000,4.7
Lampa,CL,-70.9,-33.28,64.99,51,10000,4.7
Masindi,UG,31.71,1.67,72.5,54,10000,2.64
Martapura,ID,114.85,-3.42,84.2,79,9000,8.05
Nara,JP,135.8,34.69,46.99,39,10000,24.16
Meadow Lake,US,-106.54,34.8,30.2,54,10000,4.7
Bredasdorp,ZA,20.04,-34.53,60.8,77,10000,5.23
Hasaki,JP,140.83,35.73,50.0,26,10000,6.93
Constitución,CL,-72.42,-35.33,55.87,60,10000,6.35
Vila Velha,BR,-40.29,-20.33,75.2,83,10000,6.93
Thompson,CA,-97.86,55.74,-13.0,75,10000,3.36
Busselton,AU,115.33,-33.65,79.0,43,10000,4.0
Deputatsky,RU,139.9,69.3,-29.51,87,6267,1.88
Adrar,MR,-10.07,20.5,64.04,27,10000,6.87
Kokstad,ZA,29.42,-30.55,63.72,81,10000,1.66
San Policarpo,PH,125.51,12.18,81.57,81,10000,13.42
Abhā,SA,42.51,18.22,55.4,76,10000,1.5
Keetmanshoop,NA,18.13,-26.58,70.54,31,10000,4.14
Cape Town,ZA,18.42,-33.93,69.01,68,10000,10.29
Torbay,CA,-52.73,47.67,30.0,68,10000,43.62
Mugur-Aksy,RU,90.5,50.35,10.13,86,10000,4.29
Ostrovnoy,RU,39.51,68.05,19.78,96,7507,15.48
Bluff,NZ,168.33,-46.6,57.99,95,10000,11.99
Cervo,ES,-7.41,43.67,48.99,100,7240,3.0
Flinders,AU,150.86,-34.58,79.0,83,10000,5.01
Viedma,AR,-63.0,-40.81,59.4,38,10000,11.14
General Pico,AR,-63.76,-35.66,54.52,36,10000,1.77
Christchurch,NZ,172.63,-43.53,68.0,52,10000,13.87
Hobart,AU,147.33,-42.88,61.0,50,10000,10.29
Jamestown,US,-79.24,42.1,23.0,85,10000,5.82
Ormara,PK,64.64,25.21,67.71,25,10000,10.85
Ixtapa,MX,-105.2,20.7,67.96,82,10000,2.13
Tambopata,PE,-69.18,-12.73,72.59,98,10000,2.1
Ribeira Grande,PT,-28.7,38.52,63.27,89,10000,17.54
Atuona,PF,-139.03,-9.8,78.85,78,10000,19.35
Inuvik,CA,-133.72,68.35,-18.4,75,3011,3.36
Pecos,US,-103.49,31.42,30.2,50,10000,3.36
Kapaa,US,-159.32,22.08,78.8,78,10000,12.75
Zaraza,VE,-65.32,9.35,72.28,97,10000,4.43
Saint Paul Harbor,US,-152.41,57.79,30.2,68,10000,4.7
Bilma,NE,12.92,18.69,57.47,36,10000,6.6
Oranjemund,NA,16.43,-28.55,63.54,72,10000,11.3
Longyearbyen,SJ,15.64,78.22,5.0,60,10000,19.46
Ahipara,NZ,173.17,-35.17,65.43,67,10000,10.33
Rawson,AR,-65.1,-43.3,61.14,39,10000,22.1
San Quintín,MX,-115.95,30.48,57.94,47,10000,2.89
New Norfolk,AU,147.06,-42.78,61.0,52,10000,3.0
Lompoc,US,-120.46,34.64,53.6,46,10000,14.99
Tuktoyaktuk,CA,-133.04,69.45,-22.0,74,10000,9.17
São Filipe,CV,-24.5,14.9,73.18,72,10000,9.08
Vao,NC,167.48,-22.67,75.88,75,10000,23.09
Rio Grande,BR,-52.1,-32.03,70.0,91,10000,6.55
Ancud,CL,-73.82,-41.87,45.0,87,10000,5.82
Codrington,AU,141.97,-38.27,59.61,92,10000,10.67
Upernavik,GL,-56.15,72.79,16.27,83,10000,7.11
Pevek,RU,170.31,69.7,8.92,92,10000,6.13
Bom Jesus,BR,-44.36,-9.07,74.77,63,10000,1.45
Balabac,PH,117.06,7.99,84.74,74,10000,15.93
Katsuura,JP,140.3,35.13,53.01,39,10000,14.99
Tasiilaq,GL,-37.64,65.61,28.4,46,10000,20.8
Maracanã,BR,-47.45,-0.77,74.28,93,10000,1.19
Nāyudupet,IN,79.9,13.9,80.6,74,4000,8.05
Cobija,BO,-68.77,-11.03,71.73,94,10000,2.42
Sambava,MG,50.17,-14.27,83.7,57,10000,7.92
Bethel,US,-73.41,41.37,23.0,58,10000,6.4
Igrim,RU,64.42,63.19,9.27,96,6385,5.53
Yar-Sale,RU,70.83,66.83,-3.59,91,9320,14.09
Rabo de Peixe,PT,-25.58,37.8,59.0,87,10000,5.82
Balkhash,KZ,74.98,46.84,1.4,84,7000,4.47
Rocha,UY,-54.33,-34.48,55.47,77,10000,6.17
Garoowe,SO,48.48,8.41,75.81,47,10000,12.73
Novopokrovka,UA,36.55,49.84,30.2,92,4400,6.71
Esperance,AU,121.9,-33.87,69.8,46,10000,13.87
Port Elizabeth,ZA,25.57,-33.92,66.2,77,10000,13.87
Airai,TL,125.41,-8.93,70.03,96,10000,2.86
Kaeo,NZ,173.78,-35.1,72.0,65,10000,5.01
Manta,EC,-80.73,-0.95,73.4,78,10000,3.36
Finote Selam,ET,37.27,10.7,67.6,37,10000,2.28
Barrow,US,-156.79,71.29,-9.4,76,10000,17.22
Hithadhoo,MV,73.08,-0.6,81.95,69,10000,9.57
Tyubuk,RU,60.94,56.06,20.89,89,10000,7.94
La Palma,US,-118.05,33.85,55.4,40,10000,2.95
Hobyo,SO,48.53,5.35,80.4,66,10000,18.97
Wewak,PG,143.63,-3.55,83.93,77,10000,10.07
Huejuquilla el Alto,MX,-103.87,22.6,42.62,64,10000,0.89
Flin Flon,CA,-101.86,54.77,2.8,93,1534,5.75
Mount Gambier,AU,140.77,-37.83,60.8,87,10000,8.05
Luga,RU,29.85,58.74,28.89,96,10000,9.31
Yanam,IN,82.22,16.73,84.2,62,3000,11.41
San Juan,AR,-68.54,-31.54,70.66,22,10000,6.85
Grand Gaube,MU,57.66,-20.01,82.0,77,10000,11.01
Sola,VU,167.55,-13.88,81.79,81,10000,14.29
San-Pédro,CI,-6.64,4.75,76.77,87,10000,2.51
Waddān,LY,16.14,29.16,49.48,74,10000,5.1
Cabo San Lucas,MX,-109.91,22.89,64.4,72,10000,11.41
Luchegorsk,RU,134.26,46.48,2.14,83,10000,8.37
Sitka,US,-135.33,57.05,44.6,81,10000,10.29
Baykit,RU,96.37,61.67,-17.97,83,6099,4.88
Srednekolymsk,RU,153.68,67.45,-19.97,87,563,8.61
Chissamba,AO,17.33,-12.17,64.44,85,10000,3.96
Faya,SA,42.45,18.39,55.4,76,10000,2.26
Port Hueneme,US,-119.2,34.15,57.99,45,10000,5.44
Sisimiut,GL,-53.67,66.94,21.63,89,10000,10.29
Nouadhibou,MR,-17.03,20.93,62.6,82,10000,18.34
Griffith,US,-87.42,41.53,28.4,68,10000,10.29
Castro,BR,-50.01,-24.79,60.44,92,10000,0.92
Surdulica,RS,22.17,42.69,41.0,10,10000,3.36
Darnah,LY,22.64,32.77,61.23,79,10000,16.17
Celestún,MX,-90.4,20.87,73.76,84,10000,7.18
Puerto Madryn,AR,-65.04,-42.77,61.56,37,10000,21.32
Tamandaré,BR,-35.1,-8.76,76.55,83,10000,6.31
Ponta do Sol,PT,-17.1,32.67,63.0,74,9467,7.0
Provincia di Campobasso,IT,14.58,41.63,45.0,71,10000,3.87
Dikson,RU,80.55,73.51,-14.33,90,1599,2.24
Sørland,NO,12.69,67.67,33.8,86,10000,8.05
Vestmannaeyjar,IS,-20.27,63.44,43.03,83,10000,21.59
Vágur,FO,-6.81,61.47,46.65,80,10000,12.08
Northam,GB,-4.22,51.03,51.01,89,10000,13.0
Praia,CV,-23.51,14.92,71.6,73,10000,13.87
Alofi,NU,-169.92,-19.06,77.0,88,10000,16.11
Puerto Ayora,EC,-90.35,-0.74,71.01,93,10000,5.99
Alice Springs,AU,133.88,-23.7,102.2,13,10000,9.17
Topolobampo,MX,-109.05,25.6,60.01,73,10000,4.0
Rājpīpla,IN,73.5,21.87,73.4,73,3000,9.17
Montrose,US,-108.27,38.42,12.2,78,10000,9.17
Burē,ET,37.07,10.7,66.51,38,10000,3.53
Piteå,SE,21.48,65.32,28.4,100,10000,9.17
Nome,US,-165.41,64.5,19.4,85,4828,19.46
São Gabriel da Cachoeira,BR,-67.09,-0.13,71.92,97,10000,0.85
Bonfim,BR,-59.95,3.08,76.68,75,10000,5.97
Xuchang,CN,113.82,34.02,39.2,32,7000,6.71
Kattivākkam,IN,80.32,13.22,84.2,74,5000,11.41
Severodvinsk,RU,39.83,64.56,23.0,92,10000,2.24
Emba,KZ,58.14,48.83,18.28,88,10000,7.7
Staraya Poltavka,RU,46.48,50.48,22.59,85,10000,7.4
Pisco,PE,-76.22,-13.7,64.4,93,10000,10.29
Kaduqli,SD,29.72,11.02,75.45,19,10000,13.71
Minna,NG,6.56,9.61,73.4,35,10000,1.12
Denpasar,ID,115.22,-8.65,78.8,94,6000,6.93
Pemangkat,ID,108.97,1.17,82.94,76,10000,10.0
George Town,MY,100.34,5.41,87.8,70,10000,4.7
Gimli,CA,-96.99,50.63,14.0,85,143,13.87
Harper,LR,-7.72,4.38,77.76,86,10000,4.74
Bereda,ES,-7.54,43.27,50.0,100,3813,3.0
Taoudenni,ML,-3.98,22.68,62.1,29,10000,6.69
Saskylakh,RU,114.08,71.92,-32.67,83,9524,3.24
Murray Bridge,AU,139.27,-35.12,81.0,66,10000,5.01
Malanje,AO,16.34,-9.54,64.29,93,10000,4.29
Lamar,US,-95.58,33.67,34.0,100,10000,4.7
Klichka,RU,118.0,50.45,-5.15,89,10000,3.27
Kaitangata,NZ,169.85,-46.28,59.0,85,10000,11.01
Bayburt,TR,40.23,40.26,36.84,82,10000,2.19
Tsiroanomandidy,MG,46.03,-18.77,78.91,60,10000,3.89
Saint-Pierre,RE,55.48,-21.34,82.4,69,10000,4.7
Laas,IT,10.7,46.62,32.0,63,3000,5.82
Chapais,CA,-74.85,49.78,-22.0,74,10000,3.0
Morondava,MG,44.28,-20.28,86.52,61,10000,3.13
Bengkulu,ID,102.27,-3.8,73.9,91,8774,5.79
Chui,UY,-53.46,-33.7,64.6,78,10000,11.52
Geraldton,AU,114.6,-28.77,78.8,47,10000,23.04
Vardø,NO,31.11,70.37,28.4,79,10000,23.04
Clyde River,CA,-68.59,70.47,-0.4,77,10000,26.4
Korla,CN,86.15,41.76,27.59,81,10000,2.24
Acapulco de Juárez,MX,-99.89,16.86,76.17,77,10000,4.72
Mount Isa,AU,139.5,-20.73,102.2,21,10000,10.29
Lebu,CL,-73.65,-37.62,50.81,84,10000,17.49
Aipe,CO,-75.24,3.22,72.23,81,10000,1.74
Cairns,AU,145.77,-16.92,90.0,70,10000,9.17
Xique-Xique,BR,-42.73,-10.82,76.12,58,10000,17.74
Moroni,KM,43.26,-11.7,83.89,65,10000,7.92
Manavālakurichi,IN,77.3,8.13,86.0,58,5000,2.24
Mandalgovi,MN,106.27,45.76,12.61,85,10000,13.2
Vangaindrano,MG,47.6,-23.35,80.85,60,10000,3.89
Avera,US,-82.53,33.19,44.6,75,10000,9.17
Belmonte,BR,-38.88,-15.86,71.6,88,10000,3.36
Taltal,CL,-70.48,-25.4,60.12,79,10000,1.41
Bodri,IN,81.43,23.17,77.43,49,10000,2.62
Cazones de Herrera,MX,-97.32,20.72,67.78,85,10000,11.39
Kruisfontein,ZA,24.73,-34.0,69.01,74,10000,1.99
Saravan,AM,45.65,39.72,39.2,100,1100,4.7
Pozo Colorado,PY,-58.8,-23.49,75.94,80,10000,2.35
Castaños,MX,-101.42,26.78,53.01,36,10000,5.99
Sechura,PE,-80.82,-5.56,69.58,76,10000,8.46
San Cristobal,VE,-72.22,7.77,63.79,90,10000,1.12
Gander,CA,-54.59,48.97,24.8,85,1609,35.57
Hokitika,NZ,170.97,-42.72,58.23,83,10000,10.96
Bara,NG,10.73,10.37,68.14,26,10000,7.02
Provideniya,RU,-173.3,64.38,19.4,79,191,13.42
Imeni Poliny Osipenko,RU,136.49,52.42,-3.91,87,10000,2.93
Santa Clara,CU,-79.97,22.4,71.6,100,9000,3.36
Marawi,PH,124.29,8.0,81.0,84,10000,8.01
Lawton,US,-98.39,34.61,33.8,98,10000,9.17
Tambovka,RU,128.05,50.1,5.0,34,10000,8.95
Zheleznodorozhnyy,RU,38.0,55.75,24.8,92,7000,4.47
Kharp,RU,65.81,66.8,2.14,91,10000,3.47
Najrān,SA,44.13,17.49,55.4,37,10000,1.97
Patitiri,GR,23.87,39.15,53.6,87,10000,16.11
Portel,BR,-50.82,-1.94,74.44,95,10000,2.71
Coyhaique,CL,-72.07,-45.58,46.4,65,10000,2.24
Xaltianguis,MX,-99.83,17.07,67.14,85,10000,3.29
Walvis Bay,NA,14.51,-22.96,61.0,93,10000,9.17
Narsaq,GL,-46.05,60.92,37.4,37,10000,36.91
Hue,VN,107.6,16.47,71.6,94,6000,8.05
Aransas Pass,US,-97.15,27.91,53.6,93,10000,5.82
Cabedelo,BR,-34.83,-6.98,75.2,94,10000,4.7
Bahía Blanca,AR,-62.27,-38.72,63.45,29,10000,8.21
Tevaitoa,PF,-151.5,-16.78,81.3,71,10000,20.94
Tiksi,RU,128.87,71.69,-24.65,87,10000,3.38
Severo-Kuril'sk,RU,156.12,50.68,29.98,90,10000,9.57
Lagos,NG,3.75,6.58,77.0,94,8000,2.24
Mandalī,IQ,45.55,33.75,64.56,51,10000,4.25
Avarua,CK,-159.78,-21.21,82.4,78,10000,11.41
Xichang,CN,102.26,27.9,64.99,36,10000,3.8
São Félix do Xingu,BR,-51.99,-6.64,69.89,91,10000,0.49
Homer,US,-151.55,59.64,33.8,80,10000,1.45
Moyobamba,PE,-76.97,-6.05,64.85,91,10000,0.65
Pedregulho,BR,-47.48,-20.26,66.69,92,10000,0.85
Atambua,ID,124.89,-9.11,80.85,81,10000,6.17
Paamiut,GL,-49.67,61.99,32.43,85,10000,9.86
Bay Roberts,CA,-53.26,47.6,30.99,68,10000,43.62
Zyryanka,RU,150.85,65.75,-22.34,86,611,9.31
Farmington,US,-108.22,36.73,24.8,62,10000,10.29
Bojnourd,IR,57.33,37.47,28.4,74,10000,2.24
Alyangula,AU,136.42,-13.85,78.8,100,10000,5.82
Hervey Bay,AU,152.85,-25.3,87.01,55,10000,12.75
Waipawa,NZ,175.52,-41.41,64.4,72,10000,26.4
Pangai,TO,-174.35,-19.8,78.8,74,10000,11.41
Banda Aceh,ID,95.32,5.56,82.45,73,8617,3.44
Karratha,AU,116.85,-20.74,89.29,52,10000,11.16
Aksu,CN,80.26,41.12,27.84,84,10000,1.68
Vanimo,PG,141.3,-2.67,85.57,70,10000,7.96
Diffa,NE,12.61,13.32,66.04,35,10000,8.97
Port Blair,IN,92.75,11.67,84.29,71,10000,14.05
Lavrentiya,RU,-171.0,65.58,14.61,95,1537,13.18
Pangody,RU,74.49,65.85,-5.73,91,1301,14.38
Xining,CN,101.77,36.62,20.17,77,10000,2.71
Sumbe,AO,13.84,-11.21,74.41,79,10000,1.99
Road Town,VG,-64.62,18.42,75.99,89,10000,8.99
Kostanay,KZ,63.58,53.17,3.2,77,10000,8.95
Venice,US,-82.45,27.1,63.0,88,10000,4.7
Hīt,IQ,42.83,33.64,58.55,71,10000,3.36
Hamilton,US,-84.53,39.18,32.0,68,10000,4.7
Leningradskiy,RU,178.42,69.38,13.77,94,1411,20.11
Redmond,US,-122.12,47.67,48.0,85,10000,9.01
Drovyanaya,RU,113.03,51.58,-2.2,64,6000,6.44
Presidencia Roque Sáenz Peña,AR,-60.44,-26.79,75.2,94,10000,3.36
Arlit,NE,7.39,18.74,64.26,28,10000,7.81
Talnakh,RU,88.4,69.49,-5.8,83,550,20.13
Koumac,NC,164.28,-20.57,80.49,68,10000,9.78
Shelburne,CA,-80.2,44.08,17.01,87,10000,9.8
Angoche,MZ,39.91,-16.23,84.49,66,10000,8.66
Alghero,IT,8.32,40.56,59.0,93,10000,8.05
Buala,SB,159.59,-8.14,83.32,80,10000,7.7
Sobolevo,RU,31.9,54.43,28.02,98,8770,10.16
Sochi,RU,39.73,43.6,51.8,87,10000,6.71
Enshi,CN,109.48,30.3,49.03,50,10000,0.92
Henties Bay,NA,14.28,-22.12,61.0,90,10000,1.99
Hiriyūr,IN,76.62,13.95,79.68,47,10000,14.32
Middletown,US,-84.4,39.52,30.99,63,10000,11.41
Yeppoon,AU,150.73,-23.13,91.4,49,10000,13.87
Bandarbeyla,SO,50.81,9.49,77.79,70,10000,20.15
Atikokan,CA,-91.62,48.76,14.52,95,434,7.25
Portland,US,-122.68,45.52,48.2,87,10000,6.93
Corod,RO,27.62,45.9,32.85,96,10000,4.7
Kudahuvadhoo,MV,72.89,2.67,81.9,70,10000,2.89
Anadyr,RU,177.48,64.75,17.6,72,10000,15.66
Jiazi,CN,116.07,22.88,64.67,53,10000,12.77
Ust'-Ordynskiy,RU,104.75,52.8,10.4,92,3900,8.95
Ous,RU,61.52,60.91,18.1,97,1049,7.18
Mossamedes,AO,12.15,-15.2,66.79,80,10000,2.42
Margate,GB,1.39,51.38,48.0,84,10000,8.99
Kiryat Gat,IL,34.76,31.61,57.99,100,10000,1.99
Plover,US,-89.54,44.46,19.99,67,10000,7.09
Lumut,MY,100.63,4.23,89.6,75,10000,2.24
Bubaque,GW,-15.83,11.28,78.42,68,10000,13.49
Itarema,BR,-39.92,-2.92,79.59,77,10000,12.53
Krieglach,AT,15.55,47.53,35.01,99,10000,1.5
Teknāf,BD,92.31,20.86,83.82,36,10000,5.88
Engel's,RU,46.12,51.5,20.28,92,10000,2.84
Krasnosel'kup,RU,82.47,65.7,-9.76,87,10000,20.11
Miraflores,MX,-98.81,19.22,60.8,59,10000,2.21
Chimoio,MZ,33.48,-19.12,71.6,94,10000,3.44
Bakchar,RU,82.07,57.02,3.38,94,7168,4.76
Baruun-Urt,MN,113.28,46.68,-0.36,88,10000,12.95
Dali,CN,100.18,25.7,61.65,38,10000,8.57
Yulara,AU,130.99,-25.24,102.2,17,10000,8.05
Auburn,US,-122.23,47.31,46.99,87,9656,13.87
Daru,PG,143.21,-9.08,84.49,79,10000,2.98
Pacific Grove,US,-121.92,36.62,50.0,81,10000,5.82
Hualmay,PE,-77.61,-11.1,66.97,84,10000,5.99
Puerto Escondido,MX,-97.07,15.85,73.4,83,10000,3.36
Bambanglipuro,ID,110.28,-7.95,83.7,71,10000,10.27
Sotik Post,KE,35.34,-0.78,67.32,49,10000,2.19
Qian’an,CN,124.06,44.99,2.59,88,10000,10.71
Novyy Urgal,RU,132.56,51.07,-13.5,83,10000,1.74
Sidi Ali,DZ,0.42,36.1,55.44,87,10000,7.56
Kulhudhuffushi,MV,73.07,6.62,82.22,68,10000,10.63
Grindavik,IS,-22.43,63.84,42.8,70,10000,18.34
Katobu,ID,122.53,-4.94,87.12,64,10000,7.31
Polistena,IT,16.08,38.41,53.01,27,10000,0.47
Ati,TD,18.34,13.22,68.02,25,10000,7.58
Zhigansk,RU,123.37,66.77,-40.4,81,10000,2.8
Mīzan Teferī,ET,35.58,6.98,74.12,49,10000,1.03
Carlsbad,US,-117.35,33.16,54.0,65,10000,4.72
Kibala,TD,18.35,9.11,64.4,68,10000,4.21
Carora,VE,-70.08,10.18,71.01,87,10000,4.54
Kahului,US,-156.47,20.89,75.2,78,10000,17.22
Kiama,AU,150.87,-34.68,78.01,90,10000,8.01
Doctor Juan León Mallorquín,PY,-55.27,-25.4,73.4,94,10000,2.33
Bloemhof,ZA,25.61,-27.65,77.97,46,10000,7.16
Holme,DK,10.17,56.11,44.6,100,8000,4.7
Sala Consilina,IT,15.6,40.39,41.0,86,10000,1.01
Kamenka,RU,42.77,51.32,21.0,92,10000,3.85
Guiratinga,BR,-53.76,-16.35,72.68,81,10000,2.86
Laguna,US,-121.42,38.42,45.0,81,10000,2.3
San Patricio,US,-97.52,28.02,52.0,87,10000,6.93
Sinnamary,GF,-52.95,5.38,77.58,86,10000,5.91
Fairbanks,US,-147.72,64.84,10.4,60,10000,1.12
Diego de Almagro,CL,-70.05,-26.37,54.75,62,10000,1.5
Boma,GH,-2.17,7.08,70.48,97,10000,1.77
Lagoa,PT,-27.98,39.05,61.63,82,10000,18.39
Ipameri,BR,-48.16,-17.72,67.75,62,10000,2.08
St. George's,GD,-61.75,12.06,77.45,78,10000,8.55
Esim,GH,-2.24,4.87,77.58,89,10000,5.86
Vostok,RU,135.88,46.49,-8.54,88,10000,5.84
Channel-Port aux Basques,CA,-59.14,47.57,25.21,93,10000,44.85
La Unión,PE,-80.75,-5.4,70.86,71,10000,7.78
Ust-Tsilma,RU,52.15,65.44,8.91,95,4635,4.59
Las Mercedes,VE,-66.4,9.11,73.0,87,10000,5.88
Salalah,OM,54.09,17.02,78.8,39,10000,11.41
Ketchikan,US,-131.65,55.34,44.6,100,8047,16.11
Caravelas,BR,-39.25,-17.71,71.67,93,10000,3.38
Bilibino,RU,166.44,68.05,-2.36,90,1833,1.01
Nānākuli,US,-158.15,21.39,78.01,65,10000,3.36
Ust-Nera,RU,143.2,64.57,-23.76,77,8127,3.8
Tateyama,JP,139.87,34.98,53.01,39,10000,14.99
Coquimbo,CL,-71.34,-29.95,55.27,88,10000,1.97
Port Moresby,PG,147.18,-9.44,87.8,66,10000,12.75
Moffat,GB,-3.45,55.33,45.0,58,10000,5.01
Sorgun,TR,35.19,39.81,40.46,91,10000,5.77
Maun,BW,23.42,-19.98,69.8,100,10000,4.7
Doha,QA,51.53,25.29,73.4,64,9000,3.36
Merauke,ID,140.33,-8.47,83.48,78,10000,18.68
Riberalta,BO,-66.1,-10.98,72.99,87,10000,1.83
Isangel,VU,169.27,-19.55,78.1,76,10000,19.42
Ponta Delgada,PT,-25.67,37.73,59.0,87,10000,4.9
Kotma,IN,81.97,23.2,77.86,48,10000,2.91
Gamba,GA,10.0,-2.65,75.27,92,10000,7.81
Wadi Maliz,TN,8.55,36.47,46.4,100,8000,1.81
Sioux Lookout,CA,-91.92,50.1,6.8,84,10000,4.7
Itaberá,BR,-49.14,-23.86,65.17,94,10000,3.11
Bajram Curri,AL,20.08,42.36,35.6,93,10000,3.36
Harlingen,US,-97.7,26.19,57.99,87,10000,5.82
Kresek,ID,106.38,-6.13,87.8,62,10000,12.75
Fort Myers Beach,US,-81.95,26.45,69.01,93,10000,4.7
Hazorasp,UZ,61.07,41.32,24.8,79,4900,9.17
Rāzole,IN,81.83,16.48,85.17,53,10000,8.63
Lorengau,PG,147.27,-2.02,84.33,76,10000,5.3
Tiarei,PF,-149.33,-17.53,82.0,61,10000,5.82
Guerrero Negro,MX,-114.06,27.98,55.56,41,10000,0.89
Yeniseysk,RU,92.17,58.45,-18.45,86,10000,3.27
Manzhouli,CN,117.43,49.6,3.07,84,10000,4.41
Aguada de Pasajeros,CU,-80.85,22.39,71.6,100,10000,2.24
Douglas,US,-96.17,41.3,21.0,92,10000,3.36
Horasan,TR,42.17,40.05,35.44,85,10000,0.96
Cidreira,BR,-50.21,-30.18,71.73,91,10000,11.9
Cabinda,AO,12.2,-5.55,77.02,87,10000,4.72
Pyapon,MM,95.68,16.28,90.37,44,10000,7.18
Luau,AO,22.22,-10.71,66.72,90,10000,3.27
Jalingo,NG,11.37,8.88,73.24,22,10000,3.85
Quatre Cocos,MU,57.76,-20.21,82.0,78,10000,17.22
Chok Chai,TH,102.17,14.73,84.99,76,10000,8.84
Touros,BR,-35.46,-5.2,77.0,83,10000,2.24
